,AC,,,,,,,,,,,,,,,,,,
PC Level,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,25
1,4,2,1,6,6,28,49,98,96,54,58,30,23,13,2,0,0,0,0
2,4,2,2,6,6,29,51,104,107,64,64,36,28,15,3,1,0,0,0
3,4,2,2,7,7,31,51,109,114,76,80,41,35,20,7,3,0,0,0
4,4,2,2,7,7,32,51,112,119,80,86,42,39,20,8,5,1,0,0
5,1,2,1,4,2,7,22,65,81,67,79,40,44,29,7,5,1,0,0
6,0,2,1,3,2,5,14,52,71,57,76,37,43,33,7,5,1,0,0
7,0,0,1,1,1,4,8,32,49,46,63,36,39,32,7,5,1,0,0
8,1,0,1,1,2,5,3,22,30,34,53,30,36,37,11,5,1,0,0
9,1,0,0,1,2,4,1,16,19,24,51,26,44,38,10,4,1,0,0
10,1,0,0,0,2,2,1,11,12,12,39,24,39,36,7,3,2,0,0
11,1,0,1,0,2,1,1,8,7,8,35,30,36,44,8,2,1,0,0
12,1,0,1,0,2,2,1,6,4,7,22,28,29,37,11,2,2,0,0
13,1,0,1,0,2,2,0,3,1,4,17,24,29,36,14,2,2,0,0
14,1,0,1,0,2,2,0,1,0,1,13,19,25,32,16,6,2,0,0
15,0,0,1,0,1,1,0,1,0,0,10,16,19,26,19,8,2,0,0
16,0,0,1,0,1,1,0,1,0,0,7,14,6,24,20,9,3,1,0
17,0,0,1,0,0,1,0,1,0,0,3,11,5,22,21,8,2,2,0
18,0,0,0,0,0,1,0,1,0,1,1,4,6,14,20,11,2,2,0
19,0,0,0,0,0,0,0,1,0,1,1,3,6,10,20,13,4,3,0
20,0,0,0,0,0,0,0,1,0,1,1,1,7,5,18,13,5,4,0